Year,LocationAbbr,LocationDesc,TopicDesc,Gender,Race,Age,Education
2004,OH,Ohio,  Youth,Overall,All Races,All Ages,Middle School
2008,AL,Alabama,  Youth,Female,All Races,All Ages,High School
2015,WV,West Virginia,  Youth,Male,All Races,All Ages,High School
2005,IL,Illinois,  Youth,Overall,All Races,All Ages,Middle School
2005,CT,Connecticut,  Youth,Male,All Races,All Ages,High School
2009,CT,Connecticut,  Youth,Overall,All Races,All Ages,High School
2001,ID,Idaho,  Youth,Male,All Races,All Ages,Middle School
2004,VT,Vermont,  Youth,Male,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Overall,All Races,All Ages,Middle School
2006,PA,Pennsylvania,  Youth,Female,All Races,All Ages,High School
2015,LA,Louisiana, Youth,Overall,All Races,All Ages,Middle School
2008,PA,Pennsylvania,  Youth,Male,All Races,All Ages,Middle School
2002,KY,Kentucky,  Youth,Male,All Races,All Ages,Middle School
2006,PA,Pennsylvania,  Youth,Female,All Races,All Ages,Middle School
2003,UT,Utah,  Youth,Female,All Races,All Ages,High School
2008,MN,Minnesota, Youth,Female,All Races,All Ages,Middle School
2009,LA,Louisiana,  Youth,Male,All Races,All Ages,High School
2004,DE,Delaware,  Youth,Overall,All Races,All Ages,High School
2011,CT,Connecticut,  Youth,Overall,All Races,All Ages,High School
2011,NH,New Hampshire, Youth,Overall,All Races,All Ages,High School
2002,MA,Massachusetts,  Youth,Male,All Races,All Ages,High School
2005,IL,Illinois, Youth,Male,All Races,All Ages,High School
2010,AL,Alabama,  Youth,Female,All Races,All Ages,High School
2010,AR,Arkansas,  Youth,Overall,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Overall,All Races,All Ages,High School
2001,GA,Georgia, Youth,Female,All Races,All Ages,Middle School
2008,MN,Minnesota,  Youth,Overall,All Races,All Ages,Middle School
2004,IA,Iowa, Youth,Overall,All Races,All Ages,Middle School
2009,NC,North Carolina, Youth,Overall,All Races,All Ages,High School
2002,CT,Connecticut,  Youth,Overall,All Races,All Ages,Middle School
2002,WI,Wisconsin,  Youth,Female,All Races,All Ages,Middle School
2007,NH,New Hampshire,  Youth,Male,All Races,All Ages,High School
2006,WI,Wisconsin,  Youth,Female,All Races,All Ages,Middle School
2006,SC,South Carolina,  Youth,Overall,All Races,All Ages,Middle School
2009,MS,Mississippi, Youth,Male,All Races,All Ages,High School
2010,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
2004,MS,Mississippi,  Youth,Male,All Races,All Ages,Middle School
2002,NC,North Carolina, Youth,Female,All Races,All Ages,Middle School
2007,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2000,TN,Tennessee,  Youth,Overall,All Races,All Ages,Middle School
2003,UT,Utah, Youth,Male,All Races,All Ages,Middle School
2000,DE,Delaware,  Youth,Male,All Races,All Ages,High School
2004,NJ,New Jersey, Youth,Male,All Races,All Ages,High School
2011,ND,North Dakota,  Youth,Male,All Races,All Ages,High School
2002,MS,Mississippi,  Youth,Male,All Races,All Ages,Middle School
2013,SC,South Carolina,  Youth,Male,All Races,All Ages,Middle School
2014,NJ,New Jersey,  Youth,Overall,All Races,All Ages,Middle School
2013,HI,Hawaii,  Youth,Female,All Races,All Ages,Middle School
2013,WV,West Virginia,  Youth,Male,All Races,All Ages,Middle School
2008,IA,Iowa,  Youth,Female,All Races,All Ages,High School
2007,UT,Utah,  Youth,Male,All Races,All Ages,High School
2003,RI,Rhode Island,  Youth,Female,All Races,All Ages,High School
2000,AZ,Arizona,  Youth,Female,All Races,All Ages,Middle School
2002,MA,Massachusetts,  Youth,Male,All Races,All Ages,Middle School
2000,TN,Tennessee,  Youth,Female,All Races,All Ages,Middle School
2016,MS,Mississippi,  Youth,Female,All Races,All Ages,High School
2006,MS,Mississippi, Youth,Female,All Races,All Ages,Middle School
2002,OK,Oklahoma,  Youth,Overall,All Races,All Ages,Middle School
2009,SC,South Carolina,  Youth,Overall,All Races,All Ages,High School
2002,KS,Kansas,  Youth,Female,All Races,All Ages,Middle School
2009,GA,Georgia,  Youth,Female,All Races,All Ages,High School
2015,PA,Pennsylvania,  Youth,Male,All Races,All Ages,Middle School
2012,NJ,New Jersey,  Youth,Male,All Races,All Ages,High School
2005,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2013,MS,Mississippi,  Youth,Female,All Races,All Ages,Middle School
2001,ID,Idaho,  Youth,Male,All Races,All Ages,Middle School
2003,ND,North Dakota,  Youth,Overall,All Races,All Ages,High School
2001,NJ,New Jersey,  Youth,Male,All Races,All Ages,High School
2009,OK,Oklahoma,  Youth,Male,All Races,All Ages,High School
2004,WI,Wisconsin, Youth,Female,All Races,All Ages,Middle School
2009,SC,South Carolina,  Youth,Overall,All Races,All Ages,Middle School
2013,ND,North Dakota,  Youth,Overall,All Races,All Ages,Middle School
2000,TX,Texas,  Youth,Overall,All Races,All Ages,High School
2000,VT,Vermont, Youth,Overall,All Races,All Ages,Middle School
2000,CA,California,  Youth,Female,All Races,All Ages,High School
2005,UT,Utah,  Youth,Overall,All Races,All Ages,High School
2000,WV,West Virginia,  Youth,Male,All Races,All Ages,Middle School
2000,OK,Oklahoma,  Youth,Overall,All Races,All Ages,Middle School
